orig_idx,review_idx,sentence_idx,sentence,analysis_category,sentiment,Score,ProductId,review_dt,year_month,embedding,cluster_id,cluster_conf,len,sent_len,high_theme,sub_theme
74,42,2,i have been using this spice for years and the hungarian type is consistently better than any other type/brand.,candy,positive,5,B004LB7A5W,2011-02-06 00:00:00+00:00,2011-02-01 00:00:00+00:00,"[-0.08775377 -0.01601665 -0.06311277 ... -0.01108183  0.01392349
 -0.03484185]",7,1.0,111,111,Flavor & Quality,Herbal
75,43,0,i keep a bag in my drawer at work in case i get hungry and its great to eat to keep my protein count high since i'm working out.,protein snacks,positive,5,B004157PZI,2012-05-10 00:00:00+00:00,2012-05-01 00:00:00+00:00,"[-0.04079903 -0.00444736 -0.01859531 ...  0.02421239 -0.01540789
 -0.00925556]",5,1.0,128,128,Flavor & Quality,Herbal
76,44,0,i brought some of this back from a trip to jamaica and wished i had bought it by the gallon.,candy,positive,5,B003QM6ZDU,2010-07-07 00:00:00+00:00,2010-07-01 00:00:00+00:00,"[ 0.00010728 -0.01110589 -0.04394102 ... -0.00844474  0.00355353
  0.00622356]",22,1.0,92,92,Flavor & Quality,Sweetness
77,44,1,it is very hard to find but well worth ordering in bulk!,candy,positive,5,B003QM6ZDU,2010-07-07 00:00:00+00:00,2010-07-01 00:00:00+00:00,"[-0.0085822  -0.03191253 -0.02133396 ...  0.0046226  -0.01775374
  0.02098035]",37,1.0,56,56,Availability/Stock,
78,44,2,it is a sweet but spicy sauce that takes me back to jamaica with every taste.,candy,positive,5,B003QM6ZDU,2010-07-07 00:00:00+00:00,2010-07-01 00:00:00+00:00,"[ 0.01109074 -0.05707909 -0.07825667 ...  0.02214563 -0.01864392
 -0.02166758]",7,1.0,77,77,Flavor & Quality,Herbal
79,45,0,"since republic of tea discontinued their bing cherry vanilla tea, i was looking for a replacement.",coffee,positive,5,B003OJLCXI,2010-07-27 00:00:00+00:00,2010-07-01 00:00:00+00:00,"[-1.4826362e-02 -9.0617752e-05 -4.2306259e-03 ...  1.0742722e-02
 -4.8505212e-03 -1.6411249e-02]",25,1.0,98,98,Flavor & Quality,Aroma
80,45,1,the flavor of this tea is very different from republics - it's better.,coffee,positive,5,B003OJLCXI,2010-07-27 00:00:00+00:00,2010-07-01 00:00:00+00:00,"[-0.01756274  0.01554013 -0.04899476 ...  0.01361803  0.00804645
 -0.02434663]",25,1.0,70,70,Flavor & Quality,Aroma
81,45,2,"the smell is very rich, like toasted vanilla and cherry.",coffee,positive,5,B003OJLCXI,2010-07-27 00:00:00+00:00,2010-07-01 00:00:00+00:00,"[ 6.1897733e-03 -1.0384795e-02 -8.4093869e-02 ...  1.0948464e-03
 -3.1020411e-06 -2.2038978e-02]",7,1.0,56,56,Flavor & Quality,Herbal
82,46,0,"according to a lot of reviews on top baby food brands overall, earth's best was always voted to be in the top 5 of all the lists of reviews by mom links, consumer reports, livestrong, baby health sites.",drink,positive,5,B00622CYVS,2011-01-06 00:00:00+00:00,2011-01-01 00:00:00+00:00,"[-0.00096011 -0.00907315  0.02359837 ...  0.03245507  0.05484837
 -0.01422688]",16,1.0,202,202,Other,
83,46,1,"here is a excerpt from one of the sites (i think it was from ehow.com): the center for science in the public interest evaluated popular brands of baby foods, including gerbers, heinz, earth's best and beech-nut.",drink,positive,5,B00622CYVS,2011-01-06 00:00:00+00:00,2011-01-01 00:00:00+00:00,"[ 0.0123553  -0.01151993  0.02762089 ...  0.03823809  0.01789295
  0.01366897]",16,1.0,211,211,Other,
84,46,2,"according to the center's report, earth's best did not use starchy fillers or ""replace real food with water and thickening agents in many of their products for children over six months of age.",drink,positive,5,B00622CYVS,2011-01-06 00:00:00+00:00,2011-01-01 00:00:00+00:00,"[ 0.0157411   0.02976313  0.03486905 ...  0.01830689  0.03207234
 -0.00324251]",16,1.0,192,192,Other,
85,47,0,we love these crackers for our salmon spread.,snack,positive,5,B000EUJLHE,2010-08-19 00:00:00+00:00,2010-08-01 00:00:00+00:00,"[ 0.035098   -0.01265998 -0.00704405 ... -0.00485042  0.01317462
 -0.00509165]",4,1.0,45,45,Flavor & Quality,Sweetness
86,47,1,they have just the right flavor and crispness to enjoy the taste of the spread.,snack,positive,5,B000EUJLHE,2010-08-19 00:00:00+00:00,2010-08-01 00:00:00+00:00,"[ 0.03888537 -0.0362606  -0.02858075 ...  0.00805049  0.01492226
  0.00575078]",18,1.0,79,79,Flavor & Quality,Bitterness
87,48,0,this coffee mix is so easy to make and taste great.,coffee,positive,5,B000FL0A9K,2011-03-11 00:00:00+00:00,2011-03-01 00:00:00+00:00,"[-0.0222683  -0.04433659 -0.04871469 ...  0.00242101 -0.01792354
 -0.00141121]",36,1.0,51,51,Other,
88,48,1,i enjoy all their flavors as my kids do too.,coffee,positive,5,B000FL0A9K,2011-03-11 00:00:00+00:00,2011-03-01 00:00:00+00:00,"[ 0.04399865 -0.01251899 -0.05805549 ... -0.01379744  0.01710784
  0.00970268]",16,1.0,44,44,Other,
89,48,2,buying a box of it at a time helps.,coffee,positive,5,B000FL0A9K,2011-03-11 00:00:00+00:00,2011-03-01 00:00:00+00:00,"[-0.02911733 -0.0107089   0.05810661 ... -0.00921222 -0.03367942
  0.02276242]",5,1.0,35,35,Flavor & Quality,Herbal
90,49,0,i have been having quaker oatmeal for yesrs until trying this today!,staples,positive,5,B001DIM8K8,2009-04-09 00:00:00+00:00,2009-04-01 00:00:00+00:00,"[-0.01938426  0.00022987 -0.03103117 ... -0.00157506  0.03882302
 -0.01759977]",4,1.0,68,68,Flavor & Quality,Sweetness
91,49,1,the texture and the taste are completely different from the pressed oat.,staples,positive,5,B001DIM8K8,2009-04-09 00:00:00+00:00,2009-04-01 00:00:00+00:00,"[-0.02943536 -0.03281276 -0.05824719 ...  0.03530684 -0.00031805
 -0.00622871]",4,1.0,72,72,Flavor & Quality,Sweetness
92,49,2,my son love it at the first bite!,staples,positive,5,B001DIM8K8,2009-04-09 00:00:00+00:00,2009-04-01 00:00:00+00:00,"[ 0.0025244  -0.01682127 -0.06024811 ...  0.04325814  0.00419929
 -0.00404867]",33,1.0,33,33,Flavor & Quality,Sweetness
96,52,0,my cat loves fancy feast cat food; and this variety pack in particular makes mealtime a veritable newsworthy event!,drink,positive,5,B000084EKW,2008-02-11 00:00:00+00:00,2008-02-01 00:00:00+00:00,"[-0.01616404 -0.0602938  -0.02082499 ...  0.05452928 -0.00171702
  0.0159563 ]",31,1.0,115,115,Health/Nutrition,
97,52,1,he always eats it down and he loves it; i can tell. you get eight cans of ocean whitefish & tuna feast; eight more cans of savory salmon feast with cod and eight more cans still of sole & shrimp feast.,drink,positive,5,B000084EKW,2008-02-11 00:00:00+00:00,2008-02-01 00:00:00+00:00,[0.00256618 0.00480229 0.00737171 ... 0.03497516 0.01542946 0.00724874],10,1.0,201,201,Health/Nutrition,
98,52,2,very good! the food does have some nutritional content; i always look for that when i buy food for the cat.,drink,positive,5,B000084EKW,2008-02-11 00:00:00+00:00,2008-02-01 00:00:00+00:00,"[-0.01732761 -0.02746263 -0.02270514 ...  0.04250168  0.00594685
  0.00058165]",31,1.0,107,107,Health/Nutrition,
105,55,0,we really have to limit additives and sugar for our son with autism.,drink,positive,5,B001LG945O,2011-05-15 00:00:00+00:00,2011-05-01 00:00:00+00:00,"[ 0.01876251 -0.0241452  -0.03088637 ...  0.00815093 -0.00169491
  0.0234275 ]",1,1.0,68,68,Flavor & Quality,Sweetness
106,55,1,"he feels like he's getting ""real"" fizzy soda, and mommy is happy it's not loaded with chemicals and additives and actually has real juice in it.",drink,positive,5,B001LG945O,2011-05-15 00:00:00+00:00,2011-05-01 00:00:00+00:00,"[ 0.01933537  0.0404458  -0.07237136 ...  0.01253947 -0.01376932
  0.00628875]",16,1.0,144,144,Other,
107,56,0,"it's fresh, so the kernels pop as bi as they should (unlike some other brands i've purchased).",snack,positive,4,B00382UXU4,2012-05-03 00:00:00+00:00,2012-05-01 00:00:00+00:00,"[-0.02182764  0.02192202 -0.02947204 ...  0.01116324  0.01764817
 -0.02731489]",4,1.0,94,94,Flavor & Quality,Sweetness
108,56,1,my only criticism is that there are lots of hulls.,snack,positive,4,B00382UXU4,2012-05-03 00:00:00+00:00,2012-05-01 00:00:00+00:00,"[ 0.00741548  0.05097859  0.05865864 ... -0.00469042 -0.03235296
 -0.02304015]",34,1.0,50,50,Flavor & Quality,Fruitiness
109,56,2,"but of the three brands of popcorn i've recently bough for use in my microwave popcorn popper, it's the best.",snack,positive,4,B00382UXU4,2012-05-03 00:00:00+00:00,2012-05-01 00:00:00+00:00,"[-0.04273335 -0.00370136 -0.02834255 ...  0.01146995  0.04073327
 -0.00943329]",7,1.0,109,109,Flavor & Quality,Herbal
110,57,0,treating corn flour with lime gives it a fairly distinct bitter aftertaste and a more dense construction.,snack,positive,5,B000S11CD0,2008-12-20 00:00:00+00:00,2008-12-01 00:00:00+00:00,"[-0.02537916  0.0104023  -0.01051872 ...  0.00365348  0.01118299
 -0.00277863]",4,1.0,105,105,Flavor & Quality,Sweetness
111,57,1,"chocolate chip cookies made with masa harina, which tastes like the tortillas it's meant for?",snack,positive,5,B000S11CD0,2008-12-20 00:00:00+00:00,2008-12-01 00:00:00+00:00,"[ 0.03575008 -0.03693299 -0.06142354 ... -0.01064069 -0.01303388
 -0.04214654]",6,1.0,93,93,Flavor & Quality,Fruitiness
112,57,2,"as of this writing, none of the major mills in the americas--that means north and south--make gluten-free corn flour.",snack,positive,5,B000S11CD0,2008-12-20 00:00:00+00:00,2008-12-01 00:00:00+00:00,"[-0.02010148  0.06022878  0.09906978 ...  0.00553295  0.01022098
  0.02413691]",8,1.0,117,117,Other,
113,58,0,"yes, there are higher hu products but this is exactly what is advertised.",other,positive,5,B0001M0Z3O,2010-02-09 00:00:00+00:00,2010-02-01 00:00:00+00:00,"[-0.04257627  0.00976527 -0.03318222 ...  0.01900023 -0.00575765
 -0.01062892]",34,1.0,73,73,Flavor & Quality,Fruitiness
114,58,1,i use this to make a tincture to reduce high blood pressure.,other,positive,5,B0001M0Z3O,2010-02-09 00:00:00+00:00,2010-02-01 00:00:00+00:00,"[-0.04081953  0.00530992 -0.0065864  ...  0.01038071 -0.04622088
 -0.00148836]",0,1.0,60,60,Flavor & Quality,Sweetness
115,60,0,we love the powdered goat milk taking the place of regular formula!,dairy,positive,5,B001E5DZTS,2010-08-30 00:00:00+00:00,2010-08-01 00:00:00+00:00,"[ 0.04424224 -0.02840404 -0.04078663 ...  0.01180011 -0.00020237
  0.01194409]",22,1.0,67,67,Flavor & Quality,Sweetness
